rowid,bank,sentiment
0, GXS, Positive
1, GXS, Positive
2, GXS, Neutral
3, GXS, Positive
4, GXS, Positive
5, GXS, Neutral
6, GXS, Positive
7, GXS, Negative
8, GXS, Positive
9, GXS, Negative
10, GXS, Neutral
11, GXS, Negative
12, GXS, Positive
13, GXS, Positive
14, GXS, Negative
15, GXS, Positive
16, GXS, Neutral
17, GXS, Positive
18, GXS, Negative
19, GXS, Negative
20, GXS, Positive
21, GXS, Positive
22, GXS, Positive
23, GXS, Positive
24, GXS, Positive
25, GXS, Neutral
26, GXS, Neutral
27, GXS, Positive
28, GXS, Positive
29, GXS, Negative
30, GXS, Positive
31, GXS, Positive
32, GXS, Positive
33, GXS, Positive
34, GXS, Neutral
35, GXS, Positive
36, GXS, Positive
37, GXS, Positive
38, GXS, Negative
39, GXS, Neutral
40, GXS, Neutral
41, GXS, Negative
42, GXS, Positive
43, GXS, Positive
44, GXS, Positive
45, GXS, Positive
46, GXS, Positive
47, GXS, Positive
48, GXS, Negative
49, GXS, Positive
50, GXS, Positive
51, GXS, Positive
52, GXS, Positive
53, GXS, Neutral
54, GXS, Positive
55, GXS, Positive
56, GXS, Neutral
57, GXS, Positive
58, GXS, Positive
59, GXS, Neutral
60, GXS, Negative
61, GXS, Positive
62, GXS, Positive
63, GXS, Positive
64, GXS, Negative
65, GXS, Positive
66, GXS, Positive
67, GXS, Positive
68, GXS, Positive
69, GXS, Neutral
70, GXS, Negative
71, GXS, Negative
72, GXS, Positive
73, GXS, Positive
74, GXS, Negative
75, GXS, Negative
76, GXS, Negative
77, GXS, Negative
78, GXS, Negative
79, GXS, Negative
80, GXS, Neutral
81, GXS, Positive
82, GXS, Negative
83, GXS, Neutral
84, GXS, Negative
85, GXS, Positive
86, GXS, Neutural
87, GXS, Positive
88, GXS, Positive
89, GXS, Positive
90, GXS, Negative
91, GXS, Neutral
92, GXS, Negative
93, GXS, Negative
94, GXS, Negative
95, GXS, Positive
96, GXS, Negative
97, GXS, Positive
98, GXS, Positive
99, GXS, Positive
100, GXS, Negative
101, GXS, Positive
102, GXS, Positive
103, GXS, Positive
104, GXS, Neutral
105, GXS, Positive
106, GXS, Negative
107, GXS, Neutral
108, GXS, Negative
109, GXS, Positive
110, GXS, Negative
111, GXS, Positive
112, GXS, Negative
113, GXS, Neutral
114, GXS, Positive
115, GXS, Positive
116, GXS, Negative
117, GXS, Negative
118, GXS, Negative
119, GXS, Positive
120, GXS, Positive
121, GXS, Positive
122, GXS, Positive
123, GXS, Positive
124, GXS, Neutral
125, GXS, Neutral
126, GXS, Neutral
127, GXS, Positive
128, GXS, Positive
129, GXS, Neutral
130, GXS, Negative
131, GXS, Negative
132, Trust, Negative
133, Trust, Positive
134, Trust, Neutral
135, Trust, Negative
136, Trust, Neutral
137, Trust, Neutral
138, Trust, Positive
139, Trust, Positive
140, Trust, Positive
141, Trust, Neutral
142, Trust, Neutral
143, Trust, Negative
144, Trust, Positive
145, Trust, Positive
146, Trust, Negative
147, Trust, Neutral
148, Trust, Negative
149, Trust, Positive
150, Trust, Positive
151, Trust, Negative
152, Trust, Positive
153, Trust, Negative
154, Trust, Positive
155, Trust, Negative
156, Trust, Neutral
157, Trust, Negative
158, Trust, Neutral
159, Trust, Negative
160, Trust, Negative
161, Trust, Negative
162, Trust, Negative
163, Trust, Negative
164, Trust, Neutral
165, Trust, Negative
166, Trust, Neutral
167, Trust, Negative
168, Trust, Neutral
169, Trust, Neutral
170, Trust, Negative
171, Trust, Negative
172, Trust, Negative
173, Trust, Negative
174, Trust, Negative
175, Trust, Neutral
176, Trust, Negative
177, Trust, Neutral
178, Trust, Negative
179, Trust, Positive
180, Trust, Positive
181, Trust, Negative
182, Trust, Neutral
183, Trust, Negative
184, Trust, Positive
185, Trust, Negative
186, Trust, Neutral
187, Trust, Neutral
188, Trust, Negative
189, Trust, Negative
190, Trust, Neutral
191, Trust, Positive
192, Trust, Neutral
193, Trust, Negative
194, Trust, Neutral
195, Trust, Negative
196, Trust, Negative
197, Trust, Negative
198, Trust, Neutral
199, Trust, Negative
200, Trust, Neutral
201, Trust, Neutral
202, Trust, Positive
203, Trust, Positive
204, Trust, Neutral
205, Trust, Negative
206, Trust, Neutral
207, Trust, Positive
208, Trust, Neutral
209, Trust, Neutral
210, Trust, Positive
211, Trust, Neutral
212, Trust, Positive
213, Trust, Neutral
214, Trust, Positive
215, Trust, Negative
216, Trust, Negative
217, Trust, Negative
218, Trust, Negative
219, Trust, Neutral
220, Trust, Positive
221, Trust, Neutral
222, Trust, Positive
223, Trust, Neutral
224, Trust, Negative
225, Trust, Positive
226, Trust, Neutral
227, Trust, Neutral
228, Trust, Neutral
229, Trust, Neutral
230, Trust, Neutral
231, Trust, Neutral
232, Trust, Neutral
233, Trust, Neutral
234, Trust, Negative
235, Trust, Neutral
236, Trust, Negative
237, Trust, Negative
238, Trust, Negative
239, Trust, Negative
240, Trust, Negative
241, Trust, Negative
242, Trust, Positive
243, Trust, Negative
244, Trust, Neutral
245, Trust, Positive
246, Trust, Neutral
247, Trust, Negative
248, Trust, Positive
249, Trust, Negative
250, Trust, Positive
251, Trust, Neutral
252, Trust, Neutral
253, Trust, Neutral
254, Trust, Neutral
255, Trust, Negative
256, Trust, Positive
257, Trust, Positive
258, Trust, Positive
259, Trust, Negative
260, Trust, Negative
261, Trust, Positive
262, Trust, Negative
263, Trust, Positive
264, Trust, Neutral
265, Trust, Positive
266, Trust, Negative
267, Trust, Neutral
268, Trust, Positive
269, Trust, Positive
270, Trust, Negative
271, Trust, Neutral
272, Trust, Positive
273, Trust, Negative
274, Trust, Neutral
275, Trust, Positive
276, Trust, Neutral
277, Trust, Positive
278, Trust, Positive
279, Trust, Neutral
280, Trust, Neutral
281, Trust, Neutral
282, Trust, Negative
283, Trust, Positive
284, Trust, Neutral
285, Trust, Positive
286, Trust, Positive
287, Trust, Neutral
288, Trust, Positive
289, Trust, Negative
290, Trust, Negative
291, Trust, Negative
292, Trust, Positive
293, Trust, Positive
294, Trust, Negative
295, Trust, Positive
296, Trust, Negative
297, Trust, Neutral
298, Trust, Negative
299, Trust, Negative
300, Trust, Negative
301, Trust, Negative
302, Trust, Positive
303, Trust, Neutral
304, Trust, Neutral
305, Trust, Neutral
306, Trust, Positive
307, Trust, Positive
308, Trust, Positive
