rowid,bank,service,summary
0,GXS,app,"Attractive interest rate praise"
1,GXS,banking,"Raves about bank"
2,GXS,banking,"Customer upset about interest rate drop"
3,GXS,app,"Easy to send money to GXS account"
4,GXS,app,"UI/UX praised"
5,GXS,banking,"Waiting for account slot"
6,GXS,app,"Appreciates design"
7,GXS,banking,"Fast reversal during transfer"
8,GXS,app,"User-friendly praise"
9,GXS,app,"App fails to respond after input"
10,GXS,banking,"First time deposit issue"
11,GXS,app,"Can't save payments"
12,GXS,banking,"Best bank for saving"
13,GXS,app,"Responsive interface praised"
14,GXS,banking,"lengthy onboarding, account issue"
15,GXS,app,"Seamless, fast GXS praise"
16,GXS,banking,"Used digital bank, issue not clear"
17,GXS,app,"User-friendly interface compliment"
18,GXS,app,"Cannot add functions after one year"
19,GXS,app,"Disappointed with GXS app"
20,GXS,app,"Wants more users"
21,GXS,app,"Smooth, attractive app"
22,GXS,app,"Ease of use, fast transaction praise"
23,GXS,app,"App cannot process saving money request"
24,GXS,app,"Easy drawing, flexible repayment"
25,GXS,app,"Easy pay feature before due"
26,GXS,app,"Recommended by friend"
27,GXS,app,"Easy to navigate UI/UX"
28,GXS,app,"Can't wait for saving pockets"
29,GXS,app,"Unable to download"
30,GXS,app,"Loves easy, fluid UI"
31,GXS,app,"No more long waits for operations"
32,GXS,app,"App praised for ease of use"
33,GXS,app,"User finds interface easy to use"
34,GXS,app,"Link to Grabs app desired"
35,GXS,none,"Prefers this digital bank"
36,GXS,app,"User wants daily growth view"
37,GXS,app,"Easy to use banking app"
38,GXS,app,"App unnecessary"
39,GXS,app,"Noticed poor news writing on interest rate"
40,GXS,app,"App dropped connection"
41,GXS,app,"Login issue"
42,GXS,app,"Likes interface, praises saving pocket"
43,GXS,app,"Easy to navigate app"
44,GXS,app,"App praised for design, fast transactions"
45,GXS,app,"Positive feedback"
46,GXS,app,"easy to use app love"
47,GXS,app,"Mentions great things"
48,GXS,banking,"Doesn't convey reputability"
49,GXS,app,"Easy app use and clear instructions"
50,GXS,app,"Easy-to-use, bug-free review"
51,GXS,app,"Likes app details"
52,GXS,app,"Likes app design, mentions pockets"
53,GXS,email,"Received email invite from GXS"
54,GXS,app,"Easy to use, nice UI, saves pockets"
55,GXS,app,"Easy, simple app"
56,GXS,bank,"Request for issue resolution"
57,GXS,app,"Easy to set up"
58,GXS,app,"User finds apps friendly"
59,GXS,bank,"GXS advertised high savings interest"
60,GXS,app,"Dislikes app theme"
61,GXS,app,"Friendly app comment"
62,GXS,app,"Positive feedback"
63,GXS,app,"Prefers GXS over bank app"
64,GXS,app,"User mentions ease of use, no issue mentioned"
65,GXS,app,"Easy to use bank app"
66,GXS,app,"Nice design compliment"
67,GXS,banking,"Highest saving interest rate"
68,GXS,app,"Request to increase limit"
69,GXS,app,"Encouraging language"
70,GXS,banking,"Incorrect income from SingPass"
71,GXS,banking,"Wants bank removed"
72,GXS,app,"Easy app, quick loan"
73,GXS,none,"Positive loan approval comment"
74,GXS,app,"Disappointed after download"
75,GXS,app,"Cannot open app after update"
76,GXS,app,"Forcing account creation with fee increase"
77,GXS,app,"Frustrating app experience"
78,GXS,banking,"unable to open account"
79,GXS,app,"App error message"
80,GXS,app,"request for Singpass integration"
81,GXS,app,"Good interest praise"
82,GXS,app,"Not prepared for launch"
83,GXS,banking,"Applying for slots"
84,GXS,app,"Staff manipulation request"
85,GXS,app,"Likes modern design, grumbles about UX"
86,GXS,bank,"Request for improved service"
87,GXS,app,"User praises app efficiency"
88,GXS,app,"Positive app feedback"
89,GXS,app,"Great UI compliment"
90,GXS,app,"Unnecessary notifications"
91,GXS,banking,"Fair loans, dislikes interest rate"
92,GXS,app,"Fake reviews creation"
93,GXS,app,"Lacks features, unhelpful"
94,GXS,banking,"Interest rate cut"
95,GXS,app,"Saved me, highly recommended"
96,GXS,app,"Sign-up error"
97,GXS,app,"Positive comment"
98,GXS,app,"Easy-to-use platform"
99,GXS,app,"Good response time"
100,GXS,app,"Unable to login after update"
101,GXS,app,"Praises unique and useful pockets"
102,GXS,app,"Compliments interest rate, good user experience"
103,GXS,app,"Praises savings pockets and daily interest"
104,GXS,app,"Script appears unprofessional"
105,GXS,app,"Positive comment on app speed"
106,GXS,app,"Needs redesign"
