rowid,issue,summary
9,"other","App fails to respond after input"
11,"Difficulty applying savings account","Can't save payments"
18,"lack of expected features or functionality","Cannot add functions after one year"
19,"other","Disappointed with GXS app"
25,"other","Easy pay feature before due"
26,"none","Recommended by friend"
29,"technical difficulties during registration and setup","Unable to download"
34,"none","Link to Grabs app desired"
38,"other","App unnecessary"
39,"other","Noticed poor news writing on interest rate"
40,"other","App dropped connection"
41,"login issues","Login issue"
60,"user interface and design issues","Dislikes app theme"
64,"other","User mentions ease of use, no issue mentioned"
69,"other","Encouraging language"
74,"technical glitches","Disappointed after download"
75,"technical glitches","Cannot open app after update"
76,"other","Forcing account creation with fee increase"
77,"Account Access Issues","Frustrating app experience"
79,"login issues","App error message"
80,"other","request for Singpass integration"
82,"other","Not prepared for launch"
84,"other","Staff manipulation request"
90,"other","Unnecessary notifications"
92,"other","Fake reviews creation"
93,"lack of expected features or functionality","Lacks features, unhelpful"
96,"technical difficulties during registration and setup","Sign-up error"
100,"login issues","Unable to login after update"
104,"other","Script appears unprofessional"
106,"other","Needs redesign"
108,"other","Dissatisfied user deleted app"
113,"other","Questioning authenticity"
116,"lack_of_expected_features_or_functionality","Missing payee save function"
117,"other","Review lacks clarity"
118,"registration and setup","Unable to join, open account"
124,"other","Unable to log in"
125,"other","Unclear review"
126,"The user interface of our app is not user-friendly.","PR and SP only"
129,"transaction errors","Unable to make payment via Paynow QR"
131,"login issues","iPad integration off"
135,"user interface and design issues","Unintuitive interface"
143,"Long Wait Times","Critical pointers review"
147,"other","Used Trust card in Taiwan"
148,"other","Why exclude some users?"
151,"login issues","Can't login with Trust app"
153,"Difficulty applying credit card","Expected digital bank, but issue found"
155,"other","No gyro option for account linking"
156,"other","Missed promotion alert"
157,"user interface and design issues","Not compatible with I Phone SE 2"
158,"other","Clarity of features"
159,"other","Can't disable email notifs"
161,"user interface and design issues","confusing design"
162,"Long Wait Times","Logged out, couldn't re-login"
166,"customer service policies","Single login option"
169,"user interface and design issues","No complaints about Trust app"
172,"login issues","Sign-up issue after credit card registration"
173,"customer service","Issue with promo"
174,"technical glitches","App stuck during singpass profile retrieval"
176,"Difficulty applying credit card","App interruption"
177,"other","Promote banking app"
181,"Difficulty applying credit card","Quick rejection"
185,"other","Must enable notifications"
186,"other","Informative card feature"
187,"technical glitches","iPhone 14 problem"
188,"other","5 minute long loading times"
189,"technical glitches","Stuck during info submission"
190,"login issues","Couldn't restore account after getting new phone"
192,"technical difficulties during registration and setup","Interrupted download"
193,"technical glitches","Worst app ever used"
194,"none","No need to go through hassle in app"
195,"other","Waste of time using Standard Chartered app"
196,"technical glitches","Stupid app, approved funds late"
198,"Account Access Issues","Second user uncertainty"
200,"Difficulty applying credit card","New credit card user feedback"
201,"technical difficulties during registration and setup","Asked to create new account on login"
204,"other","Noticed varying mascots"
206,"none","Thought card useful, then changed mind"
213,"savings account","Misleading sign-up fee"
215,"other","Inability to login"
216,"login issues","Phone change issue"
219,"none","App order issue"
224,"UI/UX","Difficulty using app"
227,"UI/UX","Appreciates design effort"
228,"login issues","New user downloaded app 3 months ago"
229,"technical glitches","Linking Singpass during registration"
231,"UI/UX","Confusing navigation"
232,"other","Payment notifications unclear"
234,"technical glitches","App malfunction, delayed credit card"
235,"Difficulty applying credit card","Can't add credit card"
237,"other","Ironing out app kinks"
238,"login issues","Unable to login"
241,"difficulty_applying_credit_card","Functionality issue"
243,"other","No scan pay function"
244,"other","Forces notifications off"
247,"technical glitches","New iPhone migration error"
249,"login issues","Login issue"
251,"user interface and design issues","Notification cards triggering incorrectly"
253,"none","Long account setup, link credit card"
255,"login issues","Security system triggering unnecessarily"
259,"Login issues","Lost access after phone change"
262,"none","Issues with Trust app"
264,"none","Saw ad on FP app"
266,"other","Ads despite opt-out"
274,"other","Request for learning from competition"
276,"login issues","Prompted to create account"
